case_id,candidate_id,left_record_id,right_record_id,entity_type,confidence_band,estimated_score,agreement_fields_json,disagreement_fields_json,missing_fields_json,expected_truth,generation_mode,framework_semantics,actual_engine_run,authoring_method_version,review_status,provenance_note,content_role,metadata_json,snapshot_version
CEO_BARKED_TWICE,Z-001,PR-ROWAN-01,PR-ROWAN-02,PERSON,HIGH,0.956,"[""normalized_name"",""email_or_phone"",""address""]","[""source_display_format""]",[],SAME,CURATED_APPROXIMATION,ZINGG,false,ceo-bec-zingg-v1,APPROVED,Likely same person across compatible source records.,CORE_EVIDENCE,"{""source_dataset"":""analytics/ceo_zingg_candidate_relationships.csv""}",2026.07.19.2
CEO_BARKED_TWICE,Z-002,PR-ROWAN-01,PR-ROWAN-03,PERSON,HIGH,0.950,"[""normalized_name"",""email_or_phone"",""address""]","[""source_display_format""]",[],SAME,CURATED_APPROXIMATION,ZINGG,false,ceo-bec-zingg-v1,APPROVED,Likely same person across compatible source records.,CORE_EVIDENCE,"{""source_dataset"":""analytics/ceo_zingg_candidate_relationships.csv""}",2026.07.19.2
CEO_BARKED_TWICE,Z-003,PR-ROWAN-02,PR-ROWAN-03,PERSON,HIGH,0.944,"[""normalized_name"",""email_or_phone"",""address""]","[""source_display_format""]",[],SAME,CURATED_APPROXIMATION,ZINGG,false,ceo-bec-zingg-v1,APPROVED,Likely same person across compatible source records.,CORE_EVIDENCE,"{""source_dataset"":""analytics/ceo_zingg_candidate_relationships.csv""}",2026.07.19.2
CEO_BARKED_TWICE,Z-004,PR-IVY-01,PR-IVY-02,PERSON,HIGH,0.948,"[""normalized_name"",""email_or_phone"",""address""]","[""source_display_format""]",[],SAME,CURATED_APPROXIMATION,ZINGG,false,ceo-bec-zingg-v1,APPROVED,Likely same person across compatible source records.,CORE_EVIDENCE,"{""source_dataset"":""analytics/ceo_zingg_candidate_relationships.csv""}",2026.07.19.2
CEO_BARKED_TWICE,Z-005,PR-IVY-01,PR-IVY-03,PERSON,HIGH,0.942,"[""normalized_name"",""email_or_phone"",""address""]","[""source_display_format""]",[],SAME,CURATED_APPROXIMATION,ZINGG,false,ceo-bec-zingg-v1,APPROVED,Likely same person across compatible source records.,CORE_EVIDENCE,"{""source_dataset"":""analytics/ceo_zingg_candidate_relationships.csv""}",2026.07.19.2
CEO_BARKED_TWICE,Z-006,PR-IVY-02,PR-IVY-03,PERSON,HIGH,0.936,"[""normalized_name"",""email_or_phone"",""address""]","[""source_display_format""]",[],SAME,CURATED_APPROXIMATION,ZINGG,false,ceo-bec-zingg-v1,APPROVED,Likely same person across compatible source records.,CORE_EVIDENCE,"{""source_dataset"":""analytics/ceo_zingg_candidate_relationships.csv""}",2026.07.19.2
CEO_BARKED_TWICE,Z-007,PR-GRANT-01,PR-GRANT-02,PERSON,HIGH,0.941,"[""normalized_name"",""email_or_phone"",""address""]","[""source_display_format""]",[],SAME,CURATED_APPROXIMATION,ZINGG,false,ceo-bec-zingg-v1,APPROVED,Likely same person across compatible source records.,CORE_EVIDENCE,"{""source_dataset"":""analytics/ceo_zingg_candidate_relationships.csv""}",2026.07.19.2
CEO_BARKED_TWICE,Z-008,PR-GRANT-01,PR-GRANT-03,PERSON,HIGH,0.935,"[""normalized_name"",""email_or_phone"",""address""]","[""source_display_format""]",[],SAME,CURATED_APPROXIMATION,ZINGG,false,ceo-bec-zingg-v1,APPROVED,Likely same person across compatible source records.,CORE_EVIDENCE,"{""source_dataset"":""analytics/ceo_zingg_candidate_relationships.csv""}",2026.07.19.2
CEO_BARKED_TWICE,Z-009,PR-GRANT-02,PR-GRANT-03,PERSON,HIGH,0.929,"[""normalized_name"",""email_or_phone"",""address""]","[""source_display_format""]",[],SAME,CURATED_APPROXIMATION,ZINGG,false,ceo-bec-zingg-v1,APPROVED,Likely same person across compatible source records.,CORE_EVIDENCE,"{""source_dataset"":""analytics/ceo_zingg_candidate_relationships.csv""}",2026.07.19.2
CEO_BARKED_TWICE,Z-010,PR-BEA-01,PR-BEA-02,PERSON,HIGH,0.962,"[""normalized_name"",""email_or_phone"",""address""]","[""source_display_format""]",[],SAME,CURATED_APPROXIMATION,ZINGG,false,ceo-bec-zingg-v1,APPROVED,Likely same person across compatible source records.,CORE_EVIDENCE,"{""source_dataset"":""analytics/ceo_zingg_candidate_relationships.csv""}",2026.07.19.2
