case_id,relationship_id,relationship_family,relationship_type,source_record_id,target_record_id,directed,event_time,valid_from,valid_to,weight,supporting_record_ids_json,summary,provenance,attributes_json,content_role,snapshot_version
PHANTOM_VET,REF-1AB55FB703904E7686AF,SOURCE_REFERENCE,REFERENCES_HOLDER_ID,A-INSURER-1000,O-INSURER,true,,,,,"[""A-INSURER-1000""]",A-INSURER-1000 references O-INSURER through holder_id.,authoring/phantom_accounts.csv,"{""inferred"":true,""source_column"":""holder_id""}",BACKGROUND,2026.07.18.1
PHANTOM_VET,REF-E94E75D6F5F0C55BB442,SOURCE_REFERENCE,REFERENCES_HOLDER_ID,A-PHANTOM-6622,O-PHANTOM,true,,,,,"[""A-PHANTOM-6622""]",A-PHANTOM-6622 references O-PHANTOM through holder_id.,authoring/phantom_accounts.csv,"{""inferred"":true,""source_column"":""holder_id""}",CORE_EVIDENCE,2026.07.18.1
PHANTOM_VET,REF-838A409AFD73AC8F49C8,SOURCE_REFERENCE,REFERENCES_HOLDER_ID,A-MOBILE-6623,O-MOBILE,true,,,,,"[""A-MOBILE-6623""]",A-MOBILE-6623 references O-MOBILE through holder_id.,authoring/phantom_accounts.csv,"{""inferred"":true,""source_column"":""holder_id""}",CORE_EVIDENCE,2026.07.18.1
PHANTOM_VET,REF-CD5D501CA1DD3E42E9AD,SOURCE_REFERENCE,REFERENCES_HOLDER_ID,A-NIGHTLAB-7755,O-NIGHTLAB,true,,,,,"[""A-NIGHTLAB-7755""]",A-NIGHTLAB-7755 references O-NIGHTLAB through holder_id.,authoring/phantom_accounts.csv,"{""inferred"":true,""source_column"":""holder_id""}",CORE_EVIDENCE,2026.07.18.1
PHANTOM_VET,REF-D5857E8BF26C5147A50D,SOURCE_REFERENCE,REFERENCES_HOLDER_ID,A-BLUEPHARM-8841,O-BLUEPHARM,true,,,,,"[""A-BLUEPHARM-8841""]",A-BLUEPHARM-8841 references O-BLUEPHARM through holder_id.,authoring/phantom_accounts.csv,"{""inferred"":true,""source_column"":""holder_id""}",CORE_EVIDENCE,2026.07.18.1
PHANTOM_VET,REF-009E77C83E7DFC025087,SOURCE_REFERENCE,REFERENCES_HOLDER_ID,A-ROWAN-9920,P-ROWAN,true,,,,,"[""A-ROWAN-9920""]",A-ROWAN-9920 references P-ROWAN through holder_id.,authoring/phantom_accounts.csv,"{""inferred"":true,""source_column"":""holder_id""}",CORE_EVIDENCE,2026.07.18.1
PHANTOM_VET,REF-262E0F8570109E3E3BFD,SOURCE_REFERENCE,REFERENCES_HOLDER_ID,A-MIRA-4433,P-MIRA,true,,,,,"[""A-MIRA-4433""]",A-MIRA-4433 references P-MIRA through holder_id.,authoring/phantom_accounts.csv,"{""inferred"":true,""source_column"":""holder_id""}",CORE_EVIDENCE,2026.07.18.1
PHANTOM_VET,REF-5E59C3726BD9FD0098A5,SOURCE_REFERENCE,REFERENCES_HOLDER_ID,A-DEXTER-5514,P-DEXTER,true,,,,,"[""A-DEXTER-5514""]",A-DEXTER-5514 references P-DEXTER through holder_id.,authoring/phantom_accounts.csv,"{""inferred"":true,""source_column"":""holder_id""}",CORE_EVIDENCE,2026.07.18.1
PHANTOM_VET,REF-35CCDA531B88861F9ACA,SOURCE_REFERENCE,REFERENCES_HOLDER_ID,A-LANTERN-3001,O-LANTERN-VET,true,,,,,"[""A-LANTERN-3001""]",A-LANTERN-3001 references O-LANTERN-VET through holder_id.,authoring/phantom_accounts.csv,"{""inferred"":true,""source_column"":""holder_id""}",EXCULPATORY_EVIDENCE,2026.07.18.1
PHANTOM_VET,REF-48E494AF84E32D28214F,SOURCE_REFERENCE,REFERENCES_HOLDER_ID,A-LEGITLAB-3002,O-LEGITLAB,true,,,,,"[""A-LEGITLAB-3002""]",A-LEGITLAB-3002 references O-LEGITLAB through holder_id.,authoring/phantom_accounts.csv,"{""inferred"":true,""source_column"":""holder_id""}",EXCULPATORY_EVIDENCE,2026.07.18.1
