case_id,assertion_id,assertion_type,subject_record_id,related_record_ids_json,expected_value_json,severity,description,snapshot_version
CRYPTO_KENNEL_LONG_CON,ASSERT-CRYPTO_PLATFORM_TRUTH-ED1C997143E8144B,CRYPTO_PLATFORM_TRUTH,PAC-0001,"[""O-CRYPTOKENNEL""]","{""controller_entity_id"":""O-CRYPTOKENNEL"",""platform_account_id"":""PAC-0001"",""platform_truth_status"":""FABRICATED_OR_MANIPULATED_LEDGER""}",REQUIRED,"Converted protected truth row from crypto_platform_truth.csv, source row 1.",2026.07.18.1
CRYPTO_KENNEL_LONG_CON,ASSERT-CRYPTO_PLATFORM_TRUTH-3B6C007558860725,CRYPTO_PLATFORM_TRUTH,PAC-0002,"[""O-CRYPTOKENNEL""]","{""controller_entity_id"":""O-CRYPTOKENNEL"",""platform_account_id"":""PAC-0002"",""platform_truth_status"":""FABRICATED_OR_MANIPULATED_LEDGER""}",REQUIRED,"Converted protected truth row from crypto_platform_truth.csv, source row 2.",2026.07.18.1
CRYPTO_KENNEL_LONG_CON,ASSERT-CRYPTO_PLATFORM_TRUTH-37F1C1A6CB28A5F9,CRYPTO_PLATFORM_TRUTH,PAC-0003,"[""O-CRYPTOKENNEL""]","{""controller_entity_id"":""O-CRYPTOKENNEL"",""platform_account_id"":""PAC-0003"",""platform_truth_status"":""FABRICATED_OR_MANIPULATED_LEDGER""}",REQUIRED,"Converted protected truth row from crypto_platform_truth.csv, source row 3.",2026.07.18.1
CRYPTO_KENNEL_LONG_CON,ASSERT-CRYPTO_PLATFORM_TRUTH-1B6D1D15014D1536,CRYPTO_PLATFORM_TRUTH,PAC-0004,"[""O-CRYPTOKENNEL""]","{""controller_entity_id"":""O-CRYPTOKENNEL"",""platform_account_id"":""PAC-0004"",""platform_truth_status"":""FABRICATED_OR_MANIPULATED_LEDGER""}",REQUIRED,"Converted protected truth row from crypto_platform_truth.csv, source row 4.",2026.07.18.1
CRYPTO_KENNEL_LONG_CON,ASSERT-CRYPTO_PLATFORM_TRUTH-E36A94FC7A3D4219,CRYPTO_PLATFORM_TRUTH,PAC-0005,"[""O-CRYPTOKENNEL""]","{""controller_entity_id"":""O-CRYPTOKENNEL"",""platform_account_id"":""PAC-0005"",""platform_truth_status"":""FABRICATED_OR_MANIPULATED_LEDGER""}",REQUIRED,"Converted protected truth row from crypto_platform_truth.csv, source row 5.",2026.07.18.1
CRYPTO_KENNEL_LONG_CON,ASSERT-CRYPTO_PLATFORM_TRUTH-9151A28688288256,CRYPTO_PLATFORM_TRUTH,PAC-0006,"[""O-CRYPTOKENNEL""]","{""controller_entity_id"":""O-CRYPTOKENNEL"",""platform_account_id"":""PAC-0006"",""platform_truth_status"":""FABRICATED_OR_MANIPULATED_LEDGER""}",REQUIRED,"Converted protected truth row from crypto_platform_truth.csv, source row 6.",2026.07.18.1
CRYPTO_KENNEL_LONG_CON,ASSERT-CRYPTO_PLATFORM_TRUTH-38184C4C62BB950E,CRYPTO_PLATFORM_TRUTH,PAC-0007,"[""O-CRYPTOKENNEL""]","{""controller_entity_id"":""O-CRYPTOKENNEL"",""platform_account_id"":""PAC-0007"",""platform_truth_status"":""FABRICATED_OR_MANIPULATED_LEDGER""}",REQUIRED,"Converted protected truth row from crypto_platform_truth.csv, source row 7.",2026.07.18.1
CRYPTO_KENNEL_LONG_CON,ASSERT-CRYPTO_PLATFORM_TRUTH-E793E4A02509C71A,CRYPTO_PLATFORM_TRUTH,PAC-0008,"[""O-CRYPTOKENNEL""]","{""controller_entity_id"":""O-CRYPTOKENNEL"",""platform_account_id"":""PAC-0008"",""platform_truth_status"":""FABRICATED_OR_MANIPULATED_LEDGER""}",REQUIRED,"Converted protected truth row from crypto_platform_truth.csv, source row 8.",2026.07.18.1
CRYPTO_KENNEL_LONG_CON,ASSERT-CRYPTO_PLATFORM_TRUTH-A64A1DB101108CB7,CRYPTO_PLATFORM_TRUTH,PAC-0009,"[""O-CRYPTOKENNEL""]","{""controller_entity_id"":""O-CRYPTOKENNEL"",""platform_account_id"":""PAC-0009"",""platform_truth_status"":""FABRICATED_OR_MANIPULATED_LEDGER""}",REQUIRED,"Converted protected truth row from crypto_platform_truth.csv, source row 9.",2026.07.18.1
CRYPTO_KENNEL_LONG_CON,ASSERT-CRYPTO_PLATFORM_TRUTH-5DA47F1E4833DE96,CRYPTO_PLATFORM_TRUTH,PAC-0010,"[""O-CRYPTOKENNEL""]","{""controller_entity_id"":""O-CRYPTOKENNEL"",""platform_account_id"":""PAC-0010"",""platform_truth_status"":""FABRICATED_OR_MANIPULATED_LEDGER""}",REQUIRED,"Converted protected truth row from crypto_platform_truth.csv, source row 10.",2026.07.18.1
CRYPTO_KENNEL_LONG_CON,ASSERT-CRYPTO_PLATFORM_TRUTH-FB2CC60A711B513F,CRYPTO_PLATFORM_TRUTH,PAC-0011,"[""O-CRYPTOKENNEL""]","{""controller_entity_id"":""O-CRYPTOKENNEL"",""platform_account_id"":""PAC-0011"",""platform_truth_status"":""FABRICATED_OR_MANIPULATED_LEDGER""}",REQUIRED,"Converted protected truth row from crypto_platform_truth.csv, source row 11.",2026.07.18.1
CRYPTO_KENNEL_LONG_CON,ASSERT-CRYPTO_PLATFORM_TRUTH-B8F073906E4123A5,CRYPTO_PLATFORM_TRUTH,PAC-0012,"[""O-CRYPTOKENNEL""]","{""controller_entity_id"":""O-CRYPTOKENNEL"",""platform_account_id"":""PAC-0012"",""platform_truth_status"":""FABRICATED_OR_MANIPULATED_LEDGER""}",REQUIRED,"Converted protected truth row from crypto_platform_truth.csv, source row 12.",2026.07.18.1
CRYPTO_KENNEL_LONG_CON,ASSERT-CRYPTO_PLATFORM_TRUTH-8428EC0E7FE73B0A,CRYPTO_PLATFORM_TRUTH,PAC-0013,"[""O-CRYPTOKENNEL""]","{""controller_entity_id"":""O-CRYPTOKENNEL"",""platform_account_id"":""PAC-0013"",""platform_truth_status"":""FABRICATED_OR_MANIPULATED_LEDGER""}",REQUIRED,"Converted protected truth row from crypto_platform_truth.csv, source row 13.",2026.07.18.1
CRYPTO_KENNEL_LONG_CON,ASSERT-CRYPTO_PLATFORM_TRUTH-C75838379C3E1B43,CRYPTO_PLATFORM_TRUTH,PAC-0014,"[""O-CRYPTOKENNEL""]","{""controller_entity_id"":""O-CRYPTOKENNEL"",""platform_account_id"":""PAC-0014"",""platform_truth_status"":""FABRICATED_OR_MANIPULATED_LEDGER""}",REQUIRED,"Converted protected truth row from crypto_platform_truth.csv, source row 14.",2026.07.18.1
CRYPTO_KENNEL_LONG_CON,ASSERT-CRYPTO_PLATFORM_TRUTH-722901246EEF8FC1,CRYPTO_PLATFORM_TRUTH,PAC-0015,"[""O-CRYPTOKENNEL""]","{""controller_entity_id"":""O-CRYPTOKENNEL"",""platform_account_id"":""PAC-0015"",""platform_truth_status"":""FABRICATED_OR_MANIPULATED_LEDGER""}",REQUIRED,"Converted protected truth row from crypto_platform_truth.csv, source row 15.",2026.07.18.1
CRYPTO_KENNEL_LONG_CON,ASSERT-CRYPTO_PLATFORM_TRUTH-320EF73307C99717,CRYPTO_PLATFORM_TRUTH,PAC-0016,"[""O-CRYPTOKENNEL""]","{""controller_entity_id"":""O-CRYPTOKENNEL"",""platform_account_id"":""PAC-0016"",""platform_truth_status"":""FABRICATED_OR_MANIPULATED_LEDGER""}",REQUIRED,"Converted protected truth row from crypto_platform_truth.csv, source row 16.",2026.07.18.1
