case_id,profile_code,candidate_id,left_record_id,right_record_id,entity_type,confidence_band,estimated_score,agreement_fields_json,disagreement_fields_json,missing_fields_json,generation_mode,framework_semantics,actual_engine_run,provenance_note,snapshot_version
BONE_LEDGER,ADULT,Z-001,PR-CHESTER-01,PR-CHESTER-02,PERSON,HIGH,,"[""normalized_name"",""email_or_phone""]","[""source_format""]",[],CURATED_APPROXIMATION,ZINGG_ENTITY_RESOLUTION,false,Likely same person across compatible source records.,2026.07.18.1
BONE_LEDGER,ADULT,Z-002,PR-CHESTER-01,PR-CHESTER-03,PERSON,HIGH,,"[""normalized_name"",""email_or_phone""]","[""source_format""]",[],CURATED_APPROXIMATION,ZINGG_ENTITY_RESOLUTION,false,Likely same person across compatible source records.,2026.07.18.1
BONE_LEDGER,ADULT,Z-003,PR-CHESTER-01,PR-CHESTER-04,PERSON,HIGH,,"[""normalized_name"",""email_or_phone""]","[""source_format""]",[],CURATED_APPROXIMATION,ZINGG_ENTITY_RESOLUTION,false,Likely same person across compatible source records.,2026.07.18.1
BONE_LEDGER,ADULT,Z-004,PR-CHESTER-02,PR-CHESTER-03,PERSON,HIGH,,"[""normalized_name"",""email_or_phone""]","[""source_format""]",[],CURATED_APPROXIMATION,ZINGG_ENTITY_RESOLUTION,false,Likely same person across compatible source records.,2026.07.18.1
BONE_LEDGER,ADULT,Z-005,PR-CHESTER-02,PR-CHESTER-04,PERSON,HIGH,,"[""normalized_name"",""email_or_phone""]","[""source_format""]",[],CURATED_APPROXIMATION,ZINGG_ENTITY_RESOLUTION,false,Likely same person across compatible source records.,2026.07.18.1
BONE_LEDGER,ADULT,Z-006,PR-CHESTER-03,PR-CHESTER-04,PERSON,HIGH,,"[""normalized_name"",""email_or_phone""]","[""source_format""]",[],CURATED_APPROXIMATION,ZINGG_ENTITY_RESOLUTION,false,Likely same person across compatible source records.,2026.07.18.1
BONE_LEDGER,ADULT,Z-007,PR-GRETA-01,PR-GRETA-02,PERSON,HIGH,,"[""normalized_name"",""email_or_phone""]","[""source_format""]",[],CURATED_APPROXIMATION,ZINGG_ENTITY_RESOLUTION,false,Likely same person across compatible source records.,2026.07.18.1
BONE_LEDGER,ADULT,Z-008,PR-GRETA-01,PR-GRETA-03,PERSON,HIGH,,"[""normalized_name"",""email_or_phone""]","[""source_format""]",[],CURATED_APPROXIMATION,ZINGG_ENTITY_RESOLUTION,false,Likely same person across compatible source records.,2026.07.18.1
BONE_LEDGER,ADULT,Z-009,PR-GRETA-02,PR-GRETA-03,PERSON,HIGH,,"[""normalized_name"",""email_or_phone""]","[""source_format""]",[],CURATED_APPROXIMATION,ZINGG_ENTITY_RESOLUTION,false,Likely same person across compatible source records.,2026.07.18.1
BONE_LEDGER,ADULT,Z-010,PR-MARVIN-01,PR-MARVIN-02,PERSON,HIGH,,"[""normalized_name"",""email_or_phone""]","[""source_format""]",[],CURATED_APPROXIMATION,ZINGG_ENTITY_RESOLUTION,false,Likely same person across compatible source records.,2026.07.18.1
