case_id,profile_code,relationship_id,relationship_family,relationship_type,source_record_id,target_record_id,directed,event_time,weight,supporting_record_ids_json,player_safe_summary,provenance,safe_attributes_json,snapshot_version
GOLDEN_HYDRANT,ADULT,REL-000001,DIRECT_SOURCE,DIRECTOR_OF,PR-GIDEON-01,OR-GOLDEN-01,true,,,"[""PR-GIDEON-01""]",Gideon is a registered director of Golden Hydrant.,Recorded directly in a source dataset.,{},2026.07.18.1-L2
GOLDEN_HYDRANT,ADULT,REL-000002,DIRECT_SOURCE,CONTROLS,PR-GIDEON-03,OR-BRASS-03,true,,,"[""PR-GIDEON-03""]",KYC records link Gideon to Brass Nozzle.,Recorded directly in a source dataset.,{},2026.07.18.1-L2
GOLDEN_HYDRANT,ADULT,REL-000003,DIRECT_SOURCE,CONTROLS,PR-MARCEL-03,OR-REDVALVE-03,true,,,"[""PR-MARCEL-03""]",KYC records link Marcel to Red Valve.,Recorded directly in a source dataset.,{},2026.07.18.1-L2
GOLDEN_HYDRANT,ADULT,REL-000004,DIRECT_SOURCE,CONTROLS,PR-MARCEL-03,OR-TRENCH-03,true,,,"[""PR-MARCEL-03""]",KYC records link Marcel to Trenchline.,Recorded directly in a source dataset.,{},2026.07.18.1-L2
GOLDEN_HYDRANT,ADULT,REL-000005,DIRECT_SOURCE,CONTROLS,PR-PETRA-03,OR-POINTER-03,true,,,"[""PR-PETRA-03""]",KYC records link Petra to Pointer Civic Advisory.,Recorded directly in a source dataset.,{},2026.07.18.1-L2
GOLDEN_HYDRANT,ADULT,REL-000006,DIRECT_SOURCE,EMPLOYED_BY,PR-IRIS-01,OR-CITY-01,true,,,"[""PR-IRIS-01""]",Iris is a municipal engineer without invoice approval authority.,Recorded directly in a source dataset.,{},2026.07.18.1-L2
GOLDEN_HYDRANT,ADULT,REL-000007,DIRECT_SOURCE,EMPLOYED_BY,PR-HAZEL-01,OR-FIRE-01,true,,,"[""PR-HAZEL-01""]",Hazel is fire chief and operational requester.,Recorded directly in a source dataset.,{},2026.07.18.1-L2
GOLDEN_HYDRANT,ADULT,REL-000008,DIRECT_SOURCE,EMPLOYED_BY,PR-AMELIA-01,OR-AUDIT-01,true,,,"[""PR-AMELIA-01""]",Amelia performs independent municipal audit work.,Recorded directly in a source dataset.,{},2026.07.18.1-L2
GOLDEN_HYDRANT,ADULT,REL-000009,DIRECT_SOURCE,OWNS,OR-CITY-03,A-CITY-2000,true,,,"[""A-CITY-2000""]",Recorded holder of account ••••2000.,Recorded directly in a source dataset.,{},2026.07.18.1-L2
GOLDEN_HYDRANT,ADULT,REL-000010,DIRECT_SOURCE,OWNS,OR-GOLDEN-03,A-GOLDEN-6100,true,,,"[""A-GOLDEN-6100""]",Recorded holder of account ••••6100.,Recorded directly in a source dataset.,{},2026.07.18.1-L2
GOLDEN_HYDRANT,ADULT,REL-000011,DIRECT_SOURCE,OWNS,OR-BRASS-03,A-BRASS-7711,true,,,"[""A-BRASS-7711""]",Recorded holder of account ••••7711.,Recorded directly in a source dataset.,{},2026.07.18.1-L2
GOLDEN_HYDRANT,ADULT,REL-000012,DIRECT_SOURCE,OWNS,OR-REDVALVE-03,A-REDVALVE-7722,true,,,"[""A-REDVALVE-7722""]",Recorded holder of account ••••7722.,Recorded directly in a source dataset.,{},2026.07.18.1-L2
GOLDEN_HYDRANT,ADULT,REL-000013,DIRECT_SOURCE,OWNS,OR-TRENCH-03,A-TRENCH-7733,true,,,"[""A-TRENCH-7733""]",Recorded holder of account ••••7733.,Recorded directly in a source dataset.,{},2026.07.18.1-L2
GOLDEN_HYDRANT,ADULT,REL-000014,DIRECT_SOURCE,OWNS,OR-POINTER-03,A-POINTER-8840,true,,,"[""A-POINTER-8840""]",Recorded holder of account ••••8840.,Recorded directly in a source dataset.,{},2026.07.18.1-L2
GOLDEN_HYDRANT,ADULT,REL-000015,DIRECT_SOURCE,OWNS,PR-GIDEON-03,A-GIDEON-9924,true,,,"[""A-GIDEON-9924""]",Recorded holder of account ••••9924.,Recorded directly in a source dataset.,{},2026.07.18.1-L2
GOLDEN_HYDRANT,ADULT,REL-000016,DIRECT_SOURCE,OWNS,PR-PETRA-03,A-PETRA-4437,true,,,"[""A-PETRA-4437""]",Recorded holder of account ••••4437.,Recorded directly in a source dataset.,{},2026.07.18.1-L2
GOLDEN_HYDRANT,ADULT,REL-000017,DIRECT_SOURCE,OWNS,PR-VICTOR-01,A-VICTOR-5518,true,,,"[""A-VICTOR-5518""]",Recorded holder of account ••••5518.,Recorded directly in a source dataset.,{},2026.07.18.1-L2
GOLDEN_HYDRANT,ADULT,REL-000018,DIRECT_SOURCE,OWNS,PR-MARCEL-03,A-MARCEL-6629,true,,,"[""A-MARCEL-6629""]",Recorded holder of account ••••6629.,Recorded directly in a source dataset.,{},2026.07.18.1-L2
GOLDEN_HYDRANT,ADULT,REL-000019,DIRECT_SOURCE,OWNS,OR-CLEARFLOW-03,A-CLEARFLOW-3007,true,,,"[""A-CLEARFLOW-3007""]",Recorded holder of account ••••3007.,Recorded directly in a source dataset.,{},2026.07.18.1-L2
GOLDEN_HYDRANT,ADULT,REL-000020,DIRECT_SOURCE,OWNS,OR-IRON-03,A-IRON-4110,true,,,"[""A-IRON-4110""]",Recorded holder of account ••••4110.,Recorded directly in a source dataset.,{},2026.07.18.1-L2
GOLDEN_HYDRANT,ADULT,REL-000021,DIRECT_SOURCE,OWNS,OR-NORTHQUAY-03,A-NORTHQUAY-5150,true,,,"[""A-NORTHQUAY-5150""]",Recorded holder of account ••••5150.,Recorded directly in a source dataset.,{},2026.07.18.1-L2
GOLDEN_HYDRANT,ADULT,REL-000022,DIRECT_SOURCE,OWNS,OR-BEACON-01,A-BEACON-2801,true,,,"[""A-BEACON-2801""]",Recorded holder of account ••••2801.,Recorded directly in a source dataset.,{},2026.07.18.1-L2
GOLDEN_HYDRANT,ADULT,REL-000023,DIRECT_SOURCE,OWNS,OR-HARBOR-01,A-AUX-8017,true,,,"[""A-AUX-8017""]",Recorded holder of account ••••8017.,Recorded directly in a source dataset.,{},2026.07.18.1-L2
GOLDEN_HYDRANT,ADULT,REL-000024,DIRECT_SOURCE,OWNS,OR-EMBER-01,A-AUX-8034,true,,,"[""A-AUX-8034""]",Recorded holder of account ••••8034.,Recorded directly in a source dataset.,{},2026.07.18.1-L2
GOLDEN_HYDRANT,ADULT,REL-000025,DIRECT_SOURCE,OWNS,OR-RAIN-01,A-AUX-8051,true,,,"[""A-AUX-8051""]",Recorded holder of account ••••8051.,Recorded directly in a source dataset.,{},2026.07.18.1-L2
GOLDEN_HYDRANT,ADULT,REL-000026,DIRECT_SOURCE,OWNS,OR-STONE-01,A-AUX-8068,true,,,"[""A-AUX-8068""]",Recorded holder of account ••••8068.,Recorded directly in a source dataset.,{},2026.07.18.1-L2
