case_id,match_id,rule_id,relationship_type,left_record_id,right_record_id,exact_field,masked_exact_value,normalization_version,generation_mode,framework_semantics,actual_engine_run,authoring_method_version,review_status,ambiguity_warning,supporting_record_ids_json,content_role,metadata_json,snapshot_version
PANAMA_PAWPERS,GF-0001,GF-ADDR,SAME_REGISTERED_ADDRESS,CE-CROWN,CE-0021,registered_address_id,ADDR-001,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,SENIOR_V1_TO_CANONICAL_V1,APPROVED,"Shared registered addresses may indicate a professional agent or mailbox, not common control.","[""ADDR-001""]",SUPPORTING_EVIDENCE,"{""source_dataset"":""analytics/graphframes_exact_relationships.csv""}",2026.07.19.2
PANAMA_PAWPERS,GF-0002,GF-ADDR,SAME_REGISTERED_ADDRESS,CE-CORAL,CE-0022,registered_address_id,ADDR-002,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,SENIOR_V1_TO_CANONICAL_V1,APPROVED,"Shared registered addresses may indicate a professional agent or mailbox, not common control.","[""ADDR-002""]",SUPPORTING_EVIDENCE,"{""source_dataset"":""analytics/graphframes_exact_relationships.csv""}",2026.07.19.2
PANAMA_PAWPERS,GF-0003,GF-ADDR,SAME_REGISTERED_ADDRESS,CE-LANTERN,CE-0023,registered_address_id,ADDR-003,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,SENIOR_V1_TO_CANONICAL_V1,APPROVED,"Shared registered addresses may indicate a professional agent or mailbox, not common control.","[""ADDR-003""]",SUPPORTING_EVIDENCE,"{""source_dataset"":""analytics/graphframes_exact_relationships.csv""}",2026.07.19.2
PANAMA_PAWPERS,GF-0004,GF-ADDR,SAME_REGISTERED_ADDRESS,CE-DRIFTWOOD,CE-0024,registered_address_id,ADDR-004,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,SENIOR_V1_TO_CANONICAL_V1,APPROVED,"Shared registered addresses may indicate a professional agent or mailbox, not common control.","[""ADDR-004""]",SUPPORTING_EVIDENCE,"{""source_dataset"":""analytics/graphframes_exact_relationships.csv""}",2026.07.19.2
PANAMA_PAWPERS,GF-0005,GF-ADDR,SAME_REGISTERED_ADDRESS,CE-SABLEPORT,CE-0025,registered_address_id,ADDR-002,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,SENIOR_V1_TO_CANONICAL_V1,APPROVED,"Shared registered addresses may indicate a professional agent or mailbox, not common control.","[""ADDR-002""]",SUPPORTING_EVIDENCE,"{""source_dataset"":""analytics/graphframes_exact_relationships.csv""}",2026.07.19.2
PANAMA_PAWPERS,GF-0006,GF-ADDR,SAME_REGISTERED_ADDRESS,CE-BLUEPAW,CE-0026,registered_address_id,ADDR-005,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,SENIOR_V1_TO_CANONICAL_V1,APPROVED,"Shared registered addresses may indicate a professional agent or mailbox, not common control.","[""ADDR-005""]",SUPPORTING_EVIDENCE,"{""source_dataset"":""analytics/graphframes_exact_relationships.csv""}",2026.07.19.2
PANAMA_PAWPERS,GF-0007,GF-ADDR,SAME_REGISTERED_ADDRESS,CE-FAMILY,CE-0027,registered_address_id,ADDR-020,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,SENIOR_V1_TO_CANONICAL_V1,APPROVED,"Shared registered addresses may indicate a professional agent or mailbox, not common control.","[""ADDR-020""]",SUPPORTING_EVIDENCE,"{""source_dataset"":""analytics/graphframes_exact_relationships.csv""}",2026.07.19.2
PANAMA_PAWPERS,GF-0008,GF-ADDR,SAME_REGISTERED_ADDRESS,CE-FUND,CE-0028,registered_address_id,ADDR-021,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,SENIOR_V1_TO_CANONICAL_V1,APPROVED,"Shared registered addresses may indicate a professional agent or mailbox, not common control.","[""ADDR-021""]",SUPPORTING_EVIDENCE,"{""source_dataset"":""analytics/graphframes_exact_relationships.csv""}",2026.07.19.2
PANAMA_PAWPERS,GF-0009,GF-ADDR,SAME_REGISTERED_ADDRESS,CE-CHARITY,CE-0029,registered_address_id,ADDR-022,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,SENIOR_V1_TO_CANONICAL_V1,APPROVED,"Shared registered addresses may indicate a professional agent or mailbox, not common control.","[""ADDR-022""]",SUPPORTING_EVIDENCE,"{""source_dataset"":""analytics/graphframes_exact_relationships.csv""}",2026.07.19.2
PANAMA_PAWPERS,GF-0010,GF-ADDR,SAME_REGISTERED_ADDRESS,CE-CROWNLOOK,CE-0030,registered_address_id,ADDR-043,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,SENIOR_V1_TO_CANONICAL_V1,APPROVED,"Shared registered addresses may indicate a professional agent or mailbox, not common control.","[""ADDR-043""]",SUPPORTING_EVIDENCE,"{""source_dataset"":""analytics/graphframes_exact_relationships.csv""}",2026.07.19.2
