case_id,assertion_id,assertion_type,subject_record_id,related_record_ids_json,expected_value_json,severity,description,snapshot_version
LOVE_LEASHES_OFFSHORE,ASSERT-LOVE_PERSONA_CONTROL_TRUTH-6CA8AF60A3108091,LOVE_PERSONA_CONTROL_TRUTH,PER-0001,"[""P-SERENA""]","{""controller_entity_id"":""P-SERENA"",""persona_profile_id"":""PER-0001"",""truth_category"":""FRAUD_PERSONA""}",REQUIRED,"Converted protected truth row from love_persona_control_truth.csv, source row 1.",2026.07.18.1
LOVE_LEASHES_OFFSHORE,ASSERT-LOVE_PERSONA_CONTROL_TRUTH-F2E1CE59E8E89443,LOVE_PERSONA_CONTROL_TRUTH,PER-0002,"[""P-ADRIAN""]","{""controller_entity_id"":""P-ADRIAN"",""persona_profile_id"":""PER-0002"",""truth_category"":""FRAUD_PERSONA""}",REQUIRED,"Converted protected truth row from love_persona_control_truth.csv, source row 2.",2026.07.18.1
LOVE_LEASHES_OFFSHORE,ASSERT-LOVE_PERSONA_CONTROL_TRUTH-2188AA49604E7FD3,LOVE_PERSONA_CONTROL_TRUTH,PER-0003,"[""P-KENDRA""]","{""controller_entity_id"":""P-KENDRA"",""persona_profile_id"":""PER-0003"",""truth_category"":""FRAUD_PERSONA""}",REQUIRED,"Converted protected truth row from love_persona_control_truth.csv, source row 3.",2026.07.18.1
LOVE_LEASHES_OFFSHORE,ASSERT-LOVE_PERSONA_CONTROL_TRUTH-C9E1B2D8C707DB51,LOVE_PERSONA_CONTROL_TRUTH,PER-0004,"[""P-MILO""]","{""controller_entity_id"":""P-MILO"",""persona_profile_id"":""PER-0004"",""truth_category"":""FRAUD_PERSONA""}",REQUIRED,"Converted protected truth row from love_persona_control_truth.csv, source row 4.",2026.07.18.1
LOVE_LEASHES_OFFSHORE,ASSERT-LOVE_PERSONA_CONTROL_TRUTH-34653C8BC49A04E2,LOVE_PERSONA_CONTROL_TRUTH,PER-0005,"[""P-QUINN""]","{""controller_entity_id"":""P-QUINN"",""persona_profile_id"":""PER-0005"",""truth_category"":""FRAUD_PERSONA""}",REQUIRED,"Converted protected truth row from love_persona_control_truth.csv, source row 5.",2026.07.18.1
LOVE_LEASHES_OFFSHORE,ASSERT-LOVE_PERSONA_CONTROL_TRUTH-2C912ABF40F09DA8,LOVE_PERSONA_CONTROL_TRUTH,PER-0006,"[""P-SERENA""]","{""controller_entity_id"":""P-SERENA"",""persona_profile_id"":""PER-0006"",""truth_category"":""FRAUD_PERSONA""}",REQUIRED,"Converted protected truth row from love_persona_control_truth.csv, source row 6.",2026.07.18.1
LOVE_LEASHES_OFFSHORE,ASSERT-LOVE_PERSONA_CONTROL_TRUTH-C7F216A3F19390D2,LOVE_PERSONA_CONTROL_TRUTH,PER-0007,"[""P-ADRIAN""]","{""controller_entity_id"":""P-ADRIAN"",""persona_profile_id"":""PER-0007"",""truth_category"":""FRAUD_PERSONA""}",REQUIRED,"Converted protected truth row from love_persona_control_truth.csv, source row 7.",2026.07.18.1
LOVE_LEASHES_OFFSHORE,ASSERT-LOVE_PERSONA_CONTROL_TRUTH-471FB8E093D477ED,LOVE_PERSONA_CONTROL_TRUTH,PER-0008,"[""P-KENDRA""]","{""controller_entity_id"":""P-KENDRA"",""persona_profile_id"":""PER-0008"",""truth_category"":""FRAUD_PERSONA""}",REQUIRED,"Converted protected truth row from love_persona_control_truth.csv, source row 8.",2026.07.18.1
LOVE_LEASHES_OFFSHORE,ASSERT-LOVE_PERSONA_CONTROL_TRUTH-F073C979D7EAEFA9,LOVE_PERSONA_CONTROL_TRUTH,PER-0009,"[""P-MILO""]","{""controller_entity_id"":""P-MILO"",""persona_profile_id"":""PER-0009"",""truth_category"":""FRAUD_PERSONA""}",REQUIRED,"Converted protected truth row from love_persona_control_truth.csv, source row 9.",2026.07.18.1
LOVE_LEASHES_OFFSHORE,ASSERT-LOVE_PERSONA_CONTROL_TRUTH-D03199384AF2ED80,LOVE_PERSONA_CONTROL_TRUTH,PER-0010,"[""P-QUINN""]","{""controller_entity_id"":""P-QUINN"",""persona_profile_id"":""PER-0010"",""truth_category"":""FRAUD_PERSONA""}",REQUIRED,"Converted protected truth row from love_persona_control_truth.csv, source row 10.",2026.07.18.1
