case_id,match_id,rule_id,relationship_type,left_record_id,right_record_id,exact_field,masked_exact_value,normalization_version,generation_mode,framework_semantics,actual_engine_run,authoring_method_version,review_status,ambiguity_warning,supporting_record_ids_json,content_role,metadata_json,snapshot_version
CRYPTO_KENNEL_LONG_CON,GF-0001,GF-TLS,SAME_TLS_CERTIFICATE,DOM-001,DOM-009,tls_certificate_hash,tls-core-01,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,SENIOR_V1_TO_CANONICAL_V1,APPROVED,Shared certificates may reflect common hosting or a certificate bundle.,"[""DOM-001"",""DOM-009""]",SUPPORTING_EVIDENCE,"{""source_dataset"":""analytics/crypto_graphframes_exact_relationships.csv""}",2026.07.18.1
CRYPTO_KENNEL_LONG_CON,GF-0002,GF-REG,SAME_DOMAIN_REGISTRANT,DOM-001,DOM-009,registrar_account_hash,registrar-01,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,SENIOR_V1_TO_CANONICAL_V1,APPROVED,Common registrar accounts support coordination but do not identify the human controller.,"[""DOM-001"",""DOM-009""]",SUPPORTING_EVIDENCE,"{""source_dataset"":""analytics/crypto_graphframes_exact_relationships.csv""}",2026.07.18.1
CRYPTO_KENNEL_LONG_CON,GF-0003,GF-TLS,SAME_TLS_CERTIFICATE,DOM-002,DOM-010,tls_certificate_hash,tls-core-02,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,SENIOR_V1_TO_CANONICAL_V1,APPROVED,Shared certificates may reflect common hosting or a certificate bundle.,"[""DOM-002"",""DOM-010""]",SUPPORTING_EVIDENCE,"{""source_dataset"":""analytics/crypto_graphframes_exact_relationships.csv""}",2026.07.18.1
CRYPTO_KENNEL_LONG_CON,GF-0004,GF-REG,SAME_DOMAIN_REGISTRANT,DOM-002,DOM-010,registrar_account_hash,registrar-02,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,SENIOR_V1_TO_CANONICAL_V1,APPROVED,Common registrar accounts support coordination but do not identify the human controller.,"[""DOM-002"",""DOM-010""]",SUPPORTING_EVIDENCE,"{""source_dataset"":""analytics/crypto_graphframes_exact_relationships.csv""}",2026.07.18.1
CRYPTO_KENNEL_LONG_CON,GF-0005,GF-TLS,SAME_TLS_CERTIFICATE,DOM-003,DOM-011,tls_certificate_hash,tls-core-03,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,SENIOR_V1_TO_CANONICAL_V1,APPROVED,Shared certificates may reflect common hosting or a certificate bundle.,"[""DOM-003"",""DOM-011""]",SUPPORTING_EVIDENCE,"{""source_dataset"":""analytics/crypto_graphframes_exact_relationships.csv""}",2026.07.18.1
CRYPTO_KENNEL_LONG_CON,GF-0006,GF-REG,SAME_DOMAIN_REGISTRANT,DOM-003,DOM-011,registrar_account_hash,registrar-03,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,SENIOR_V1_TO_CANONICAL_V1,APPROVED,Common registrar accounts support coordination but do not identify the human controller.,"[""DOM-003"",""DOM-011""]",SUPPORTING_EVIDENCE,"{""source_dataset"":""analytics/crypto_graphframes_exact_relationships.csv""}",2026.07.18.1
CRYPTO_KENNEL_LONG_CON,GF-0007,GF-TLS,SAME_TLS_CERTIFICATE,DOM-004,DOM-012,tls_certificate_hash,tls-core-04,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,SENIOR_V1_TO_CANONICAL_V1,APPROVED,Shared certificates may reflect common hosting or a certificate bundle.,"[""DOM-004"",""DOM-012""]",SUPPORTING_EVIDENCE,"{""source_dataset"":""analytics/crypto_graphframes_exact_relationships.csv""}",2026.07.18.1
CRYPTO_KENNEL_LONG_CON,GF-0008,GF-REG,SAME_DOMAIN_REGISTRANT,DOM-004,DOM-012,registrar_account_hash,registrar-04,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,SENIOR_V1_TO_CANONICAL_V1,APPROVED,Common registrar accounts support coordination but do not identify the human controller.,"[""DOM-004"",""DOM-012""]",SUPPORTING_EVIDENCE,"{""source_dataset"":""analytics/crypto_graphframes_exact_relationships.csv""}",2026.07.18.1
CRYPTO_KENNEL_LONG_CON,GF-0009,GF-TLS,SAME_TLS_CERTIFICATE,DOM-005,DOM-013,tls_certificate_hash,tls-core-05,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,SENIOR_V1_TO_CANONICAL_V1,APPROVED,Shared certificates may reflect common hosting or a certificate bundle.,"[""DOM-005"",""DOM-013""]",SUPPORTING_EVIDENCE,"{""source_dataset"":""analytics/crypto_graphframes_exact_relationships.csv""}",2026.07.18.1
CRYPTO_KENNEL_LONG_CON,GF-0010,GF-REG,SAME_DOMAIN_REGISTRANT,DOM-005,DOM-013,registrar_account_hash,registrar-05,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,SENIOR_V1_TO_CANONICAL_V1,APPROVED,Common registrar accounts support coordination but do not identify the human controller.,"[""DOM-005"",""DOM-013""]",SUPPORTING_EVIDENCE,"{""source_dataset"":""analytics/crypto_graphframes_exact_relationships.csv""}",2026.07.18.1
